COSECHA,codmes,producto_f,FLG,SUBP,MADURACION,SALDO
202101,202209,9.PNR Capital de trabajo,0,5,20,1.264533849E7
202101,202209,9.PNR Capital de trabajo,1,1,20,0.0
202101,202209,9.PNR Capital de trabajo,1,5,20,2251418.35
202101,202209,9.PNR Capital de trabajo,1,2,20,1706274.8399999999
202101,202209,9.PNR Capital de trabajo,0,2,20,9158612.69
202101,202210,9.PNR Capital de trabajo,1,1,21,0.0
202101,202210,9.PNR Capital de trabajo,0,2,21,7284145.720000001
202101,202210,9.PNR Capital de trabajo,0,5,21,9775123.28
202101,202210,9.PNR Capital de trabajo,1,5,21,2290687.58
202101,202210,9.PNR Capital de trabajo,1,2,21,1318408.2999999998
202101,202210,9.PNR Capital de trabajo,0,1,21,7432.96
202101,202211,9.PNR Capital de trabajo,1,2,22,1015438.1000000001
202101,202211,9.PNR Capital de trabajo,1,1,22,0.0
202101,202211,9.PNR Capital de trabajo,0,1,22,0.0
202101,202211,9.PNR Capital de trabajo,1,5,22,1958918.7800000003
202101,202211,9.PNR Capital de trabajo,0,5,22,7563825.84
202101,202211,9.PNR Capital de trabajo,0,2,22,5319344.89
202101,202212,9.PNR Capital de trabajo,1,5,23,1707227.44
202101,202212,9.PNR Capital de trabajo,0,5,23,5275596.0200000005
202101,202212,9.PNR Capital de trabajo,1,1,23,0.0
202101,202212,9.PNR Capital de trabajo,0,2,23,3842852.08
202101,202212,9.PNR Capital de trabajo,1,2,23,565762.5299999999
202101,202301,9.PNR Capital de trabajo,1,2,24,447897.25000000006
202101,202301,9.PNR Capital de trabajo,0,5,24,2920751.0200000005
202101,202301,9.PNR Capital de trabajo,0,2,24,1802665.6700000002
202101,202301,9.PNR Capital de trabajo,1,5,24,1327352.4800000002
202101,202301,9.PNR Capital de trabajo,1,1,24,0.0
202101,202302,9.PNR Capital de trabajo,1,2,25,513476.4799999999
202101,202302,9.PNR Capital de trabajo,0,2,25,900836.4199999999
202101,202302,9.PNR Capital de trabajo,1,5,25,220184.33000000002
202101,202302,9.PNR Capital de trabajo,0,5,25,3041970.25
202101,202302,9.PNR Capital de trabajo,1,1,25,0.0
202101,202303,9.PNR Capital de trabajo,1,1,26,0.0
202101,202303,9.PNR Capital de trabajo,1,5,26,451840.2
202101,202303,9.PNR Capital de trabajo,1,2,26,412640.3
202101,202303,9.PNR Capital de trabajo,0,2,26,405453.42
202101,202303,9.PNR Capital de trabajo,0,5,26,2897705.72
202101,202304,9.PNR Capital de trabajo,1,2,27,318456.04000000004
202101,202304,9.PNR Capital de trabajo,0,5,27,2562960.9999999995
202101,202304,9.PNR Capital de trabajo,1,5,27,372727.04000000004
202101,202304,9.PNR Capital de trabajo,0,2,27,321779.0
202101,202304,9.PNR Capital de trabajo,1,1,27,0.0
202101,202305,9.PNR Capital de trabajo,0,5,28,2294381.9
202101,202305,9.PNR Capital de trabajo,0,2,28,308894.13
202101,202305,9.PNR Capital de trabajo,1,1,28,0.0
202101,202305,9.PNR Capital de trabajo,1,2,28,309221.73
202101,202305,9.PNR Capital de trabajo,1,5,28,276186.03
202101,202306,9.PNR Capital de trabajo,0,2,29,225922.64
202101,202306,9.PNR Capital de trabajo,1,1,29,0.0
202101,202306,9.PNR Capital de trabajo,0,5,29,1726629.98
202101,202306,9.PNR Capital de trabajo,1,5,29,1033305.23
202101,202306,9.PNR Capital de trabajo,1,2,29,258070.04000000004
202101,202307,9.PNR Capital de trabajo,0,2,30,239739.71000000002
202101,202307,9.PNR Capital de trabajo,1,2,30,292123.22000000003
202101,202307,9.PNR Capital de trabajo,1,5,30,538467.55
202101,202307,9.PNR Capital de trabajo,0,5,30,1865224.27
202101,202308,9.PNR Capital de trabajo,1,5,31,118226.51
202101,202308,9.PNR Capital de trabajo,1,2,31,142835.01
202101,202308,9.PNR Capital de trabajo,0,5,31,1916394.58
202101,202308,9.PNR Capital de trabajo,0,2,31,385804.41000000003
202101,202309,9.PNR Capital de trabajo,0,5,32,1904261.44
202101,202309,9.PNR Capital de trabajo,1,2,32,135669.38999999998
202101,202309,9.PNR Capital de trabajo,0,2,32,364010.07
202101,202309,9.PNR Capital de trabajo,1,5,32,263523.0
202101,202310,9.PNR Capital de trabajo,0,5,33,1835475.06
202101,202310,9.PNR Capital de trabajo,1,5,33,169278.13999999998
202101,202310,9.PNR Capital de trabajo,1,2,33,65720.43
202101,202310,9.PNR Capital de trabajo,0,2,33,403774.35000000003
202101,202311,9.PNR Capital de trabajo,1,2,34,266502.41000000003
202101,202311,9.PNR Capital de trabajo,0,5,34,2067924.5200000003
202101,202311,9.PNR Capital de trabajo,0,2,34,179055.41
202101,202311,9.PNR Capital de trabajo,1,5,34,56805.66
202101,202312,9.PNR Capital de trabajo,0,2,35,181787.47
202101,202312,9.PNR Capital de trabajo,1,5,35,141554.86
202101,202312,9.PNR Capital de trabajo,1,2,35,162958.67
202101,202312,9.PNR Capital de trabajo,0,5,35,2021202.97
202101,202401,9.PNR Capital de trabajo,0,2,36,213011.03
202101,202401,9.PNR Capital de trabajo,1,2,36,158375.22
202101,202401,9.PNR Capital de trabajo,0,5,36,1853424.7700000003
202101,202401,9.PNR Capital de trabajo,1,5,36,167219.28
202101,202402,9.PNR Capital de trabajo,1,5,37,0.0
202101,202402,9.PNR Capital de trabajo,0,5,37,1795017.57
202101,202402,9.PNR Capital de trabajo,1,2,37,125415.1
202101,202402,9.PNR Capital de trabajo,0,2,37,157673.18
202101,202403,9.PNR Capital de trabajo,0,2,38,135821.05
202101,202403,9.PNR Capital de trabajo,1,2,38,26595.69
202101,202403,9.PNR Capital de trabajo,0,5,38,1563491.3699999999
202101,202403,9.PNR Capital de trabajo,1,5,38,67221.41
202101,202404,9.PNR Capital de trabajo,1,2,39,64236.31
202101,202404,9.PNR Capital de trabajo,0,5,39,1374582.7300000002
202101,202404,9.PNR Capital de trabajo,1,5,39,219929.63
202101,202404,9.PNR Capital de trabajo,0,2,39,68417.45
202101,202405,9.PNR Capital de trabajo,0,2,40,120202.52
202101,202405,9.PNR Capital de trabajo,1,5,40,339105.04000000004
202101,202405,9.PNR Capital de trabajo,1,2,40,0.0
202101,202405,9.PNR Capital de trabajo,0,5,40,1176377.58
202101,202406,9.PNR Capital de trabajo,0,5,41,1221914.68
202101,202406,9.PNR Capital de trabajo,1,5,41,193428.74
202101,202406,9.PNR Capital de trabajo,1,2,41,0.0
202101,202406,9.PNR Capital de trabajo,0,2,41,113362.02
202101,202407,9.PNR Capital de trabajo,0,2,42,106251.89
202101,202407,9.PNR Capital de trabajo,1,5,42,187906.15
202101,202407,9.PNR Capital de trabajo,0,5,42,1087068.12
202101,202407,9.PNR Capital de trabajo,1,2,42,0.0
202101,202408,9.PNR Capital de trabajo,0,2,43,41544.15
202101,202408,9.PNR Capital de trabajo,1,5,43,300614.14
202101,202408,9.PNR Capital de trabajo,0,5,43,855268.75
202101,202408,9.PNR Capital de trabajo,1,2,43,60106.98
202101,202409,9.PNR Capital de trabajo,1,5,44,434592.32000000007
202101,202409,9.PNR Capital de trabajo,1,2,44,65108.65
202101,202409,9.PNR Capital de trabajo,0,2,44,37951.14
202101,202409,9.PNR Capital de trabajo,0,5,44,780954.8799999999
202101,202410,9.PNR Capital de trabajo,1,5,45,377424.30000000005
202101,202410,9.PNR Capital de trabajo,0,5,45,945104.52
202101,202410,9.PNR Capital de trabajo,1,2,45,57952.75
202101,202410,9.PNR Capital de trabajo,0,2,45,34310.21
202101,202411,9.PNR Capital de trabajo,1,5,46,131499.07
202101,202411,9.PNR Capital de trabajo,0,2,46,30645.25
202101,202411,9.PNR Capital de trabajo,1,2,46,0.0
202101,202411,9.PNR Capital de trabajo,0,5,46,1078074.5
202101,202412,9.PNR Capital de trabajo,0,2,47,26934.0
