COSECHA,codmes,MADURACION,SALDO
202210,202306,8,5157952.53
202210,202307,9,3826378.87
202210,202308,10,2619731.7199999997
202210,202309,11,1966118.89
202210,202310,12,1361161.85
202210,202311,13,1005954.1900000001
202210,202312,14,887467.1299999999
202210,202401,15,629947.31
202210,202402,16,481529.73000000004
202210,202403,17,318504.19999999995
202210,202404,18,366037.89
202210,202405,19,247513.48
202210,202406,20,168696.92000000004
202210,202407,21,225559.72
202210,202408,22,224189.97
202210,202409,23,177309.25
202210,202410,24,187710.18
202210,202411,25,121883.73000000001
202210,202412,26,167480.26
202210,202501,27,90198.73
202210,202502,28,59621.9
202210,202503,29,72926.4
202210,202504,30,74299.46
202210,202505,31,63694.4
202211,202211,0,1264231.03
202211,202212,1,662985.3899999999
202211,202301,2,4148033.85
202211,202302,3,7463713.0600000005
202211,202303,4,1.1802467109999998E7
202211,202304,5,8792371.290000001
202211,202305,6,7759385.129999999
202211,202306,7,6526324.7299999995
202211,202307,8,4781010.4
202211,202308,9,3871710.2300000004
202211,202309,10,2344474.2800000003
202211,202310,11,1940977.1800000004
202211,202311,12,958129.3700000001
202211,202312,13,455305.56
202211,202401,14,403134.36999999994
202211,202402,15,318388.49000000005
202211,202403,16,136635.66999999998
202211,202404,17,132609.16
202211,202405,18,114157.85
202211,202406,19,97042.74
202211,202407,20,62577.590000000004
202211,202408,21,55632.52
202211,202409,22,53996.46
202211,202410,23,57809.490000000005
202211,202411,24,105599.49000000002
202211,202412,25,96854.98
202211,202501,26,71445.40999999999
202211,202502,27,88006.89
202211,202503,28,83137.85
202211,202504,29,79354.89999999998
202211,202505,30,74467.36
202212,202212,0,1157627.71
202212,202301,1,562790.97
202212,202302,2,1294802.89
202212,202303,3,5613238.46
202212,202304,4,8248464.189999999
202212,202305,5,8761793.270000001
202212,202306,6,6357193.36
202212,202307,7,5500891.41
202212,202308,8,4414913.260000001
202212,202309,9,3178941.6000000006
202212,202310,10,2215994.37
202212,202311,11,1226447.07
202212,202312,12,1094126.02
202212,202401,13,579680.94
202212,202402,14,613970.3800000001
202212,202403,15,458944.89
202212,202404,16,421219.72000000003
202212,202405,17,406856.1
202212,202406,18,517956.17999999993
202212,202407,19,339006.61
202212,202408,20,192277.13
202212,202409,21,189959.93999999997
202212,202410,22,240303.48
202212,202411,23,46310.020000000004
202212,202412,24,119157.40000000001
202212,202501,25,131507.56
202212,202502,26,127201.24
202212,202503,27,37412.57
202212,202504,28,6796.09
202212,202505,29,5584.04
202301,202301,0,593000.0
202301,202302,1,231728.72999999998
202301,202303,2,2768281.04
202301,202304,3,7704109.859999999
202301,202305,4,1.16250405E7
202301,202306,5,1.1433788690000001E7
202301,202307,6,8716665.440000001
202301,202308,7,6261432.949999999
202301,202309,8,5285140.29
202301,202310,9,4324008.78
202301,202311,10,2740762.73
202301,202312,11,2186393.1599999997
202301,202401,12,1351784.45
202301,202402,13,788676.3
202301,202403,14,758057.7599999999
202301,202404,15,683850.6799999999
202301,202405,16,578145.86
