cosecha;codmes;maduracion;saldo_inicial;provisionporc;pdponderado;rango_pd;porcentajeacum;REAL;acumulado30;PRIMERA PARTE;SEGUNDA PARTE;TERCERA;PROYECTADO
202204;202311;19;715369839.45;0.00;0.05;3. Medio II;0.11;81457732.88;0.13;0.04;0.05;0.05;35903521.65
202204;202312;20;715369839.45;0.00;0.05;3. Medio II;0.12;83248303.59;0.13;0.04;0.05;0.05;36693404.50
202204;202401;21;715369839.45;0.00;0.05;3. Medio II;0.12;85383682.56;0.13;0.05;0.05;0.05;37429913.47
202204;202402;22;715369839.45;0.00;0.05;3. Medio II;0.12;86540435.59;0.13;0.05;0.05;0.05;38119807.39
202204;202403;23;715369839.45;0.00;0.05;3. Medio II;0.12;88165040.49;0.13;0.06;0.05;0.05;38768637.37
202204;202404;24;715369839.45;0.00;0.05;3. Medio II;0.12;89392615.14;0.13;0.06;0.06;0.06;39381018.44
202204;202405;25;715369839.45;0.00;0.05;3. Medio II;0.13;90993612.84;0.13;0.07;0.06;0.06;39960828.81
202204;202406;26;715369839.45;0.00;0.05;3. Medio II;0.13;91649606.98;0.13;0.07;0.06;0.06;40511358.91
202204;202407;27;715369839.45;0.00;0.05;3. Medio II;0.13;92503043.20;0.13;0.08;0.06;0.06;41035424.39
202204;202408;28;715369839.45;0.00;0.05;3. Medio II;0.13;92973041.18;0.13;0.09;0.06;0.06;41535453.36
202204;202409;29;715369839.45;0.00;0.05;3. Medio II;0.13;93467361.74;0.13;0.10;0.06;0.06;42013554.34
202204;202410;30;715369839.45;0.00;0.05;3. Medio II;0.13;94122640.52;0.13;0.10;0.06;0.06;42013554.34
202204;202411;31;715369839.45;0.00;0.05;3. Medio II;0.13;94468879.52;0.13;0.11;0.06;0.06;42013554.34
202204;202412;32;715369839.45;0.00;0.05;3. Medio II;0.13;94770765.59;0.13;0.12;0.06;0.06;42013554.34
202204;202501;33;715369839.45;0.00;0.05;3. Medio II;0.13;95177095.66;0.13;0.13;0.06;0.06;42013554.34
202204;202502;34;715369839.45;0.00;0.05;3. Medio II;0.13;95434628.80;0.13;0.14;0.06;0.06;42013554.34
202204;202503;35;715369839.45;0.00;0.05;3. Medio II;0.13;95760122.08;0.13;0.15;0.06;0.06;42013554.34
202204;202504;36;715369839.45;0.00;0.05;3. Medio II;0.13;95973302.29;0.13;0.16;0.06;0.06;42013554.34
202204;202505;37;715369839.45;0.00;0.05;3. Medio II;0.13;96569205.37;0.13;0.17;0.06;0.06;42013554.34
202204;202506;38;715369839.45;0.00;0.05;3. Medio II;0.14;96647180.68;0.13;0.18;0.06;0.06;42013554.34
202204;202507;39;715369839.45;0.00;0.05;3. Medio II;0.14;96909006.04;0.13;0.19;0.06;0.06;42013554.34
202204;202508;40;715369839.45;0.00;0.05;3. Medio II;0.14;96891837.16;0.13;0.20;0.06;0.06;42013554.34
202204;202509;41;715369839.45;0.00;0.05;3. Medio II;0.14;97011303.93;0.13;0.21;0.07;0.06;42013554.34
202205;202205;0;771195285.79;0.01;0.05;3. Medio II;0.01;7772877.29;0.12;0.01;0.01;0.01;7711952.86
202205;202206;1;771195285.79;0.00;0.05;3. Medio II;0.01;7142039.54;0.12;0.01;0.01;0.01;6940757.57
202205;202207;2;771195285.79;0.00;0.05;3. Medio II;0.01;8813990.92;0.12;0.01;0.01;0.01;10675481.90
202205;202208;3;771195285.79;0.01;0.05;3. Medio II;0.02;14202332.38;0.12;0.01;0.01;0.01;10141012.88
202205;202209;4;771195285.79;0.01;0.05;3. Medio II;0.02;18679121.02;0.12;0.01;0.01;0.01;9811425.46
